sibling_order,home_location,home_location_in_UK,attention_check,salary_estimate
oldest,UK,NW,pass,30000
only,UK,NW,pass,20000
only,UK,SE,pass,25000
middle,UK,Midlands,pass,30000
only,UK,NW,fail,30000
oldest,UK,Midlands,pass,20000
oldest,UK,NW,pass,30000
oldest,UK,NW,pass,30000
youngest,UK,Midlands,pass,25000
oldest,Europe (not UK),NA,pass,50000
youngest,UK,NW,pass,30000
oldest,UK,NW,pass,32000
oldest,UK,Midlands,pass,30000
youngest,UK,NW,pass,30000
only,UK,Midlands,pass,5000
only,UK,SE,pass,15000
middle,UK,SE,pass,20000
youngest,UK,NW,pass,400000
youngest,UK,NW,pass,45000
oldest,Asia,NA,pass,20000
oldest,UK,NW,pass,25000
youngest,UK,NW,pass,35000
oldest,UK,NW,pass,35000
oldest,UK,NW,fail,18200
oldest,UK,NE,pass,30000
only,South America,NA,pass,35000
oldest,UK,Midlands,pass,27000
oldest,Europe (not UK),NA,pass,22000
middle,UK,NW,pass,25000
middle,UK,NW,pass,25000
youngest,UK,Midlands,pass,40000
youngest,UK,SE,pass,23000
oldest,UK,NW,pass,30000
youngest,UK,SE,pass,35000
oldest,UK,NW,pass,26000
oldest,Asia,NA,pass,5000
youngest,UK,Wales,pass,35000
youngest,Asia,NA,pass,35000
oldest,Asia,NA,pass,40000
youngest,UK,NW,pass,30000
youngest,UK,NW,pass,26500
youngest,UK,SE,pass,37000
middle,UK,Wales,fail,35000
youngest,UK,NW,pass,27000
only,UK,NW,pass,35000
oldest,UK,NW,pass,40000
youngest,UK,NW,pass,35000
youngest,UK,NW,pass,30000
youngest,UK,SE,pass,45000
middle,UK,NW,pass,50000
youngest,UK,SE,pass,30000
only,Asia,NA,pass,30000
only,UK,SE,pass,27000
oldest,Asia,NA,pass,35000
youngest,UK,SE,pass,30000
youngest,UK,NW,pass,25000
youngest,UK,NW,pass,30000
youngest,UK,NW,pass,13000
oldest,UK,NW,pass,30000
oldest,UK,NW,pass,25000
middle,UK,NW,pass,35000
youngest,UK,Wales,pass,28000
middle,UK,NW,pass,9500
youngest,UK,NW,pass,30000
oldest,UK,NW,pass,34000
oldest,UK,NW,pass,27000
youngest,UK,NE,pass,30000
middle,UK,Wales,pass,32000
oldest,UK,NW,pass,30000
middle,UK,SW,pass,25000
oldest,UK,NW,pass,30000
youngest,UK,NE,pass,28000
oldest,UK,SE,pass,25000
youngest,UK,Midlands,pass,30000
youngest,UK,SE,pass,40000
middle,UK,NW,pass,25000
youngest,UK,Midlands,pass,50000
youngest,UK,Midlands,pass,35000
youngest,UK,SE,pass,32000
youngest,UK,NW,pass,20000
oldest,UK,NW,pass,23000
oldest,UK,Midlands,pass,5000
oldest,UK,NW,pass,30000
oldest,UK,NW,fail,35000
oldest,UK,Midlands,pass,25000
only,UK,NW,pass,32450
middle,UK,NW,fail,30000
only,UK,NW,pass,25000
youngest,UK,Midlands,pass,31000
oldest,UK,NW,pass,20000
oldest,UK,SE,pass,22000
oldest,UK,Midlands,pass,35000
only,UK,NE,pass,30000
oldest,UK,NW,pass,50000
middle,UK,NE,pass,25000
oldest,UK,NE,fail,34000
oldest,UK,NW,pass,35000
oldest,Asia,NA,pass,60000
oldest,UK,NW,pass,18537
youngest,UK,NE,pass,35000
youngest,UK,SE,pass,30000
only,UK,NW,pass,25000
youngest,UK,NW,pass,40000
middle,UK,NW,pass,38000
youngest,Europe (not UK),NA,pass,28000
only,Asia,NA,pass,25000
oldest,UK,SE,pass,25000
only,Africa,NA,fail,10000
oldest,UK,Midlands,pass,23000
youngest,UK,NW,pass,30000
youngest,UK,NW,pass,35000
youngest,Europe (not UK),NA,pass,20000
middle,UK,NW,pass,22650
youngest,UK,SE,pass,25000
youngest,UK,NA,fail,NA
oldest,UK,NA,fail,NA
oldest,UK,NW,pass,25000
youngest,UK,NW,pass,27000
middle,UK,NW,fail,17000
oldest,UK,Midlands,pass,20000
oldest,UK,SE,fail,20000
