StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PQ1,PQ2,PQ3,PQ4,PQ5,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q18,Q14,Q16,Q17,Q52,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q23,Q24,Q25,Q26#1_1,Q26#1_2,Q26#1_3,Q26#1_4,Q26#1_5,Q26#1_6,Q26#1_7,Q27,Q28,Q29,Q30,Q31,Q32,Q33#1_1,Q33#2_1,Q34#1_1,Q34#2_1,Q35#1_1,Q35#2_1,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q38_1,Q39_1,Q40_1,Q54,Q54_1,Q54_2,Q54_3,Q53_1,Q55_1,Q56_1,Q56_2,Q56_4,Q56_10,Q56_6,Q56_12,Q56_8,Q56_11,Q56_13,Q53,id,RandomID
2022-10-11 12:23:38,2022-10-11 12:36:49,IP Address,148.88.245.8,100,791,True,2022-10-11 12:36:49,R_Q5qvHpgNH5EAqxr,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,June,Male,193,A middle child (I had older and younger siblings),UK,"North East, England",GCSE grade A-C,2,Average,A little below average,30000,150,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,lose £100 for sure,80,Nearly every day,Several days,Nearly every day,Several days,Not at all,Not at all,More than half the days,4.8,2.71,5.41,0 days,7 days,0 days,7 days,7 days,7 days,0 days,,341,561,,,iPhone,6,30,6,0,,,...,Strongly disagree,...,Strongly disagree,,8,7,5,strongly agree,62,31,31,30,17,2,4,5,8,6,1,7,3,9,in imperial units alongside a metric equivalent?,25870,468273
2022-10-11 12:20:09,2022-10-11 12:40:09,IP Address,148.88.245.153,100,1199,True,2022-10-11 12:40:09,R_SHlsYZOCuLHVC9P,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,September,Male,178,The youngest of my siblings,UK,"South East, England (inc. London)",A-Level Grade B / C,8,A little above the average,Average,25000,180,Strongly disagree,receive £100 for sure,lose £100 for sure,90,Several days,Not at all,Several days,Not at all,Nearly every day,Not at all,Not at all,9,5,8,0 days,7 days,0 days,7 days,7 days,7 days,0 days,,273,437,,,iPhone,4,0,2,30,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,8,2,9,strongly agree,30,25,10,25,7,4,1,6,7,9,2,8,3,5,in imperial units alongside a metric equivalent?,25883,505808
2022-10-11 12:26:29,2022-10-11 12:42:24,IP Address,148.88.245.68,100,955,True,2022-10-11 12:42:25,R_2Bmqf0IbJ7oBqV3,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Female,167,The youngest of my siblings,UK,"South East, England (inc. London)",GCSE grade A-C,2,Average,A little below average,21000,235,Strongly disagree,receive £100 for sure,lose £100 for sure,45,Nearly every day,Nearly every day,Nearly every day,Several days,Several days,More than half the days,More than half the days,7.85,5.43,8.60,0 days,7 days,1 day,7 days,6 days,7 days,0 days,,458,256,0,25,iPhone,4,30,3,45,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,7,6,1,strongly agree,35,15,40,26,45,1,2,8,4,5,6,7,3,9,in imperial units alongside a metric equivalent?,26066,879933
2022-10-11 12:19:14,2022-10-11 12:42:31,IP Address,148.88.245.182,100,1397,True,2022-10-11 12:42:32,R_UgTmERcGzVPA8b7,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Female,152,The oldest of my siblings,UK,"South East, England (inc. London)",Other (not listed),8,Average,Average,45000,125,Disagree,receive £100 for sure,lose £100 for sure,50,Several days,Not at all,Not at all,Several days,,Not at all,Not at all,3.7,2.8,4.8,0 days,7 days,0 days,0 days,7 days,7 days,0 days,,137,268,,,Android,2,30,,,1,30,...,...,...,...,...,5,4,6,strongly agree,51,30,30,30,20,1,2,4,5,6,3,8,7,9,in imperial units alongside a metric equivalent?,25967,237250
2022-10-11 12:19:07,2022-10-11 12:42:59,IP Address,148.88.245.173,100,1431,True,2022-10-11 12:42:59,R_1i8vtjTXznrrVw9,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,July,Female,159,An only child,UK,"South East, England (inc. London)",GCSE grade A-C,15,A little above the average,Average,40000,150,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,lose £100 for sure,80,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Prefer not to say,4.7,4.6,5.3,2 days,7 days,1 day,7 days,7 days,2 days,0 days,2,182,857,2,73,iPhone,7,30,6,15,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,4,4,4,strongly agree,50,20,30,40,15,8,1,5,6,7,9,4,3,2,in imperial units alongside a metric equivalent?,26021,874105
2022-10-11 12:26:34,2022-10-11 12:43:46,IP Address,148.88.245.255,100,1031,True,2022-10-11 12:43:47,R_2QFfm017uHcLlxL,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,March,Female,167,A middle child (I had older and younger siblings),UK,"South West, England",Other (not listed),19,Average,A little below average,20000,220,Disagree,receive £100 for sure,lose £100 for sure,5,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,4.5,4.5,8.2,0 days,6 days,0 days,7 days,4 days,0 days,0 days,,269,585,,,iPhone,7,15,7,30,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,7,5,5,strongly agree,38,14,60,45,15,9,1,5,7,3,4,6,8,2,in imperial units alongside a metric equivalent?,26070,947418
2022-10-11 12:30:30,2022-10-11 12:50:32,IP Address,148.88.245.211,100,1202,True,2022-10-11 12:50:32,R_3lFjtijNjn5vG2h,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,March,Female,160,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,2,Average,A little above the average,30000,130,Disagree,receive £100 for sure,lose £100 for sure,98,Nearly every day,Nearly every day,Nearly every day,Several days,More than half the days,Several days,Several days,16,13,14,1 day,7 days,0 days,5 days,7 days,5 days,0 days,76,406,545,,,Android,6,30,,,4,45,...,..,...,..,Strongly disagree,5,8,9,strongly agree,41,19,28,20,10,,,,,,,,,,in imperial units alongside a metric equivalent?,25969,537351
2022-10-11 12:41:55,2022-10-11 12:54:12,IP Address,148.88.245.24,100,737,True,2022-10-11 12:54:13,R_1PYGhHdom7iJOnP,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,20,June,Non-binary,176,An only child,UK,Wales,GCSE grade A-C,3,Average,Well below average,25000,450,Disagree,receive £100 for sure,lose £100 for sure,99,Nearly every day,Nearly every day,Nearly every day,More than half the days,Several days,Nearly every day,Nearly every day,5.35s,5.42s,7.10s,0 days,3 days,7 days,7 days,7 days,2 days,0 days,,513,169,166,632,iPhone,5,0,6,0,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,7,1,9,strongly agree,55,8,20,20,5,4,1,5,6,3,7,8,2,9,in imperial units alongside a metric equivalent?,25983,642313
2022-10-11 12:18:29,2022-10-11 12:56:14,IP Address,148.88.245.30,100,2264,True,2022-10-11 12:56:14,R_2znZcllt4iHrNDY,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,165,The youngest of my siblings,UK,Wales,A-Level Grade A* / A,7,Average,A little below average,30000,170,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,50,Several days,More than half the days,Several days,Several days,More than half the days,Not at all,Several days,5.4,4.9,6.5,3 days,7 days,1 day,4 days,7 days,4 days,0 days,117,372,403,42,57,Android,18,30,,,7,30,...,..,..,..,Strongly agree,1,1,4,strongly agree,39,18,40,29,6,1,4,7,2,8,5,3,6,9,in imperial units alongside a metric equivalent?,25918,626437
2022-10-11 12:42:16,2022-10-11 12:58:43,IP Address,148.88.245.230,100,986,True,2022-10-11 12:58:43,R_1pXrKbBPDyI2n2P,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,167,The youngest of my siblings,UK,"South West, England",GCSE grade A-C,5,Average,A little below average,25000,250,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,90,Nearly every day,Several days,More than half the days,Several days,Not at all,Not at all,Not at all,5.52,2.74,4.12,2 days,7 days,0 days,4 days,3 days,7 days,0 days,151,375,1151,,,Android,4,30,,,6,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7,5,1,strongly agree,35,20,44,28,8,,,,,,,,,,in imperial units alongside a metric equivalent?,25926,770555
2022-10-11 12:45:40,2022-10-11 12:59:36,IP Address,148.88.245.148,100,836,True,2022-10-11 12:59:37,R_ugL1oG1RkyxZpE5,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,158,A middle child (I had older and younger siblings),UK,"North West, England",GCSE grade A-C,12,Average,Average,35000,2000,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,85,Nearly every day,More than half the days,Several days,Several days,Not at all,Not at all,More than half the days,5.14,4.80,6.87,0 days,7 days,1 day,3 days,7 days,5 days,0 days,,271,258,0,3,Android,4,30,,,3,15,...,...,...,...,...,8,2,3,strongly agree,61,25,50,35,19,4,2,5,6,7,8,9,1,3,in imperial units alongside a metric equivalent?,25900,845697
2022-10-11 12:55:08,2022-10-11 13:13:42,IP Address,148.88.245.242,100,1113,True,2022-10-11 13:13:43,R_3Nz9vnEtWB2BXkA,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,October,Female,177,The youngest of my siblings,UK,"South East, England (inc. London)",A-Level Grade B / C,9,A little above the average,A little below average,25000,90,Agree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,95,Nearly every day,More than half the days,More than half the days,More than half the days,Several days,Several days,Not at all,7.15,8.9,8.3,0 days,6 days,7 days,7 days,7 days,5 days,0 days,,437,500,95,354,iPhone,9,0,7,45,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,4,5,7,strongly agree,68,56,45,56,36,1,3,4,5,6,2,7,8,9,in imperial units alongside a metric equivalent?,26005,389399
2022-10-11 13:05:15,2022-10-11 13:18:52,IP Address,148.88.245.71,100,816,True,2022-10-11 13:18:52,R_vADcf7LHFBuWEMh,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,July,Non-binary,166,The oldest of my siblings,UK,"North East, England",GCSE grade A-C,10,Average,Average,24000,500,Agree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,lose £100 for sure,80,Several days,Several days,Several days,More than half the days,More than half the days,More than half the days,Nearly every day,6.79,5.86,8.40,2 days,6 days,0 days,7 days,0 days,3 days,1 day,6,136,239,,,Android,11,30,,,6,30,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,6,3,7,strongly agree,52,19,29,6,3,4,2,7,8,1,3,6,5,9,in imperial units alongside a metric equivalent?,25945,598231
2022-10-11 12:55:37,2022-10-11 13:22:27,IP Address,148.88.245.155,100,1609,True,2022-10-11 13:22:27,R_3nSMpkHGZhgNgmZ,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Female,150,An only child,UK,"North West, England",GCSE grade A-C,6,Average,A little below average,35000,650,Strongly disagree,receive £100 for sure,lose £100 for sure,70,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,More than half the days,Nearly every day,6,4,8,0 days,5 days,3 days,7 days,5 days,2 days,0 days,,700,1500,3,1000,iPhone,5,0,6,15,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,...,5,4,7,strongly agree,53,45,43,20,3,5,1,7,6,9,8,4,3,2,In imperial units?,26023,648908
2022-10-11 12:53:36,2022-10-11 13:23:21,IP Address,148.88.245.234,100,1784,True,2022-10-11 13:23:21,R_10BOWKoArqgtzvS,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,February,Female,168,The oldest of my siblings,Asia,,,7,Average,A little above the average,14400,100,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,60,Several days,More than half the days,Several days,Not at all,Several days,Several days,Several days,5.07,5.12,04.86,1 day,7 days,1 day,0 days,1 day,7 days,0 days,414,644,542,1,4,iPhone,5,15,4,15,,,..,..,..,Strongly disagree,Strongly agree,7,6,5,strongly disagreee,54,18,43,42,5,1,2,3,4,5,6,7,8,9,In imperial units?,25955,104392
2022-10-11 13:02:11,2022-10-11 13:36:06,IP Address,148.88.245.99,100,2035,True,2022-10-11 13:36:06,R_1LSvFgOwKcpZNZ5,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,173,A middle child (I had older and younger siblings),UK,"North West, England",GCSE grade A-C,4,Average,Average,25000,800,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,100,More than half the days,Several days,Nearly every day,Several days,Several days,Several days,More than half the days,4,3,5,7 days,7 days,2 days,3 days,7 days,4 days,0 days,67,94,241,2,11,iPhone,6,45,6,45,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,,,5,strongly agree,15,10,20,15,10,9,1,3,7,8,5,2,6,4,in imperial units alongside a metric equivalent?,25908,738026
2022-10-11 12:27:09,2022-10-11 13:37:07,IP Address,148.88.245.57,100,4197,True,2022-10-11 13:37:08,R_3EnGzSV4tUsaX5H,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,May,Female,158,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,2,Average,Average,30000,300,Strongly disagree,receive £100 for sure,lose £100 for sure,80,Nearly every day,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,6,5,9,0 days,5 days,0 days,0 days,1 day,7 days,0 days,,0,22,,,iPhone,3,0,3,15,,,...,Strongly agree,Strongly agree,...,Strongly agree,3,2,8,strongly agree,50,20,35,10,15,8,2,4,6,3,1,7,5,9,in imperial units alongside a metric equivalent?,25950,363632
2022-10-11 13:17:58,2022-10-11 13:40:10,IP Address,148.88.245.55,100,1331,True,2022-10-11 13:40:10,R_3NET7W4U3wgVFlX,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,182,The youngest of my siblings,UK,"North West, England",A-Level Grade B / C,6,A little above the average,A little below average,15000,65,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,100,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,7,4,9,0 days,6 days,0 days,7 days,7 days,6 days,0 days,,120,42,,,iPhone,9,30,5,0,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,6,2,7,strongly agree,33,19,25,10,5,3,4,5,6,1,2,7,8,9,in imperial units alongside a metric equivalent?,26012,724459
2022-10-11 13:31:46,2022-10-11 13:52:07,IP Address,148.88.245.118,100,1220,True,2022-10-11 13:52:07,R_3oIb1LDs8Dmd292,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Female,167,The oldest of my siblings,UK,"North West, England",GCSE grade A-C,7,Average,Average,25000,150,Strongly disagree,receive £100 for sure,lose £100 for sure,80,More than half the days,Several days,Several days,Several days,Not at all,Several days,Several days,6,5,8,7 days,7 days,5 days,7 days,7 days,5 days,0 days,331,1051,821,0,7,iPhone,4,0,3,0,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7,6,8,strongly agree,50,10,60,20,5,7,1,9,4,8,2,6,3,5,in imperial units alongside a metric equivalent?,25972,721894
2022-10-11 13:43:28,2022-10-11 13:55:41,IP Address,148.88.245.39,100,733,True,2022-10-11 13:55:41,R_XqfqpxHbZUEWRC9,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,November,Female,191,The youngest of my siblings,UK,"Midlands, England",A-Level Grade A* / A,2,Average,A little below average,40000,275,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,99,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,More than half the days,More than half the days,5.83,4.77,8.58,1 day,5 days,7 days,7 days,7 days,7 days,0 days,2,235,326,23,189,iPhone,6,45,9,45,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,9,2,8,strongly agree,30,20,35,25,5,1,2,5,4,6,3,7,8,9,in imperial units alongside a metric equivalent?,25916,776930
2022-10-11 12:18:35,2022-10-11 14:02:03,IP Address,148.88.245.87,100,6208,True,2022-10-11 14:02:03,R_7TxZYZuOOHw1Xah,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,June,Female,163,The oldest of my siblings,UK,"North West, England",A-Level Grade A* / A,4,A little above the average,A little below average,26000,70,Agree,receive £100 for sure,lose £100 for sure,70,More than half the days,Several days,More than half the days,Several days,Several days,Several days,More than half the days,6,3,7,0 days,6 days,7 days,0 days,4 days,5 days,0 days,,275,272,6,3,iPhone,7,45,8,15,,,...,...,...,...,...,4,2,3,strongly agree,40,19,31,27,17,1,5,6,7,2,3,8,4,9,in imperial units alongside a metric equivalent?,26075,990445
2022-10-11 13:51:26,2022-10-11 14:04:55,IP Address,148.88.245.156,100,808,True,2022-10-11 14:04:55,R_cHmOCOJd3Q6oBLH,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,June,Female,167,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,9,Average,Average,28000,700,Strongly disagree,receive £100 for sure,lose £100 for sure,70,Several days,Several days,Several days,Not at all,Several days,More than half the days,Several days,5.45,3.31,4.86,7 days,7 days,7 days,7 days,7 days,5 days,0 days,696,1064,1579,24,166,iPhone,8,0,8,45,,,..,Strongly disagree,Strongly disagree,Strongly disagree,,9,5,9,strongly agree,52,45,20,45,4,,,,,,,,,,In imperial units?,25888,171965
2022-10-11 13:54:20,2022-10-11 14:19:48,IP Address,148.88.245.117,100,1528,True,2022-10-11 14:19:48,R_2CktWITjgnTRiFd,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,November,Female,178,The youngest of my siblings,UK,"South West, England",GCSE grade A-C,14,Average,Average,28000,700,Strongly disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,80,More than half the days,More than half the days,Nearly every day,Several days,Several days,Several days,Not at all,4.90,3.16,6.10,1 day,7 days,0 days,0 days,7 days,7 days,0 days,50,193,339,,,Android,5,0,,,5,30,...,...,Strongly disagree,..,...,7,2,7,strongly disagreee,29,18,40,30,50,7,1,8,5,9,6,4,3,2,in imperial units alongside a metric equivalent?,25877,630757
2022-10-11 14:35:14,2022-10-11 14:52:35,IP Address,148.88.245.155,100,1040,True,2022-10-11 14:52:35,R_VO3EOWocqJFYanT,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,May,Female,170,The oldest of my siblings,UK,"South East, England (inc. London)",A-Level Grade A* / A,10,A little above the average,A little above the average,24000,220,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,70,Nearly every day,More than half the days,More than half the days,Several days,Not at all,Not at all,Several days,5,3,6,0 days,7 days,3 days,7 days,7 days,2 days,0 days,,1046,1208,3,14,iPhone,5,0,3,30,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,8,7,8,strongly agree,39,10,21,18,6,9,4,3,8,1,2,5,7,6,in imperial units alongside a metric equivalent?,25996,192210
2022-10-11 14:34:13,2022-10-11 14:56:20,IP Address,148.88.245.203,100,1326,True,2022-10-11 14:56:20,R_11bEeD0AoPOegh5,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Female,168,The oldest of my siblings,UK,"North West, England",GCSE grade A-C,3,A little below average,Well above average,25000,550,Strongly disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,70,Nearly every day,Nearly every day,Nearly every day,More than half the days,More than half the days,Nearly every day,Nearly every day,5,4,6,7 days,0 days,0 days,0 days,7 days,7 days,0 days,11,,,,,iPhone,5,15,6,30,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,3,5,5,strongly agree,42,8,58,21,2,5,2,1,6,7,8,4,3,9,in imperial units alongside a metric equivalent?,25885,345362
2022-10-11 14:38:36,2022-10-11 14:59:36,IP Address,148.88.245.110,100,1260,True,2022-10-11 14:59:37,R_R4wIMAMoTMEtZdf,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,December,Female,160,A middle child (I had older and younger siblings),UK,"North West, England",GCSE grade A-C,3,A little below average,Average,50000,720,Strongly disagree,receive £100 for sure,lose £100 for sure,80,More than half the days,Several days,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,8.33,6.09,10.33,0 days,1 day,0 days,0 days,2 days,4 days,0 days,,151,443,,,Android,3,0,,,1,45,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7,2,1,strongly agree,60,25,20,10,15,5,1,8,7,9,6,2,3,4,In imperial units?,25884,102448
2022-10-11 12:25:54,2022-10-11 15:13:33,IP Address,148.88.245.124,100,10059,True,2022-10-11 15:13:34,R_12R3cLpr96mxJ0Q,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,April,Female,165,An only child,UK,"South East, England (inc. London)",GCSE grade A-C,5,A little below average,A little above the average,36000,100,Agree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,85,Several days,More than half the days,More than half the days,Several days,Several days,Not at all,Not at all,6.7,5.83,6.81,7 days,7 days,1 day,3 days,6 days,2 days,0 days,41,329,956,1500,478,iPhone,5,30,6,15,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5,6,8,strongly agree,50,20,34,20,8,4,5,1,6,7,2,8,3,9,in imperial units alongside a metric equivalent?,25879,244752
2022-10-11 14:56:40,2022-10-11 15:20:32,IP Address,148.88.245.134,100,1431,True,2022-10-11 15:20:32,R_1FP62yqimc36P5s,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,January,Female,165,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,10,Average,A little above the average,30000,450,Strongly disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,90,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,Several days,Nearly every day,5,3,5,0 days,7 days,7 days,7 days,7 days,7 days,4 days,,508,303,0,172,iPhone,10,15,9,30,,,..,Strongly disagree,Strongly disagree,Strongly disagree,,9,0,3,strongly agree,40,35,25,45,25,4,1,5,6,2,3,7,8,9,in imperial units alongside a metric equivalent?,26032,265343
2022-10-11 15:04:12,2022-10-11 15:23:18,IP Address,148.88.245.149,100,1145,True,2022-10-11 15:23:18,R_2s7RSRRhQPB7X7n,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,159,The oldest of my siblings,UK,"North West, England",GCSE grade A-C,5,Average,Average,40000,120,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,86,Several days,Several days,Several days,Several days,Nearly every day,Several days,Several days,8.92,5.46,7.52,0 days,7 days,6 days,7 days,7 days,0 days,0 days,,274,130,1790,258,iPhone,8,30,6,30,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,7,6,9,strongly agree,71,50,71,77,79,3,1,7,6,9,2,5,4,8,In imperial units?,25851,698415
2022-10-11 15:05:34,2022-10-11 15:29:54,IP Address,148.88.245.102,100,1459,True,2022-10-11 15:29:54,R_2AFLnG2K3Saa9NM,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,February,Female,160,An only child,UK,"South East, England (inc. London)",GCSE grade A-C,34,Average,Average,28000,500,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,lose £100 for sure,80,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,14,11,14,2 days,2 days,0 days,7 days,5 days,2 days,0 days,112,8,11,,,iPhone,4,30,3,15,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,9,6,9,strongly agree,60,11,31,15,12,5,1,6,8,7,9,2,4,3,in imperial units alongside a metric equivalent?,25869,661183
2022-10-11 15:19:38,2022-10-11 15:30:35,IP Address,148.88.245.182,100,656,True,2022-10-11 15:30:35,R_1imUsGiOTZPdVtY,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,22,June,Non-binary,168,The oldest of my siblings,UK,"North East, England",A-Level Grade A* / A,6,A little above the average,Average,20000,300,Agree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,10,,,,,,,,6.4,4.2,7.5,0 days,0 days,0 days,0 days,0 days,4 days,0 days,,,,,,Android,2,30,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,3,6,4,strongly agree,40,20,28,20,5,6,5,9,3,1,2,7,8,4,in imperial units alongside a metric equivalent?,26051,353706
2022-10-11 15:19:28,2022-10-11 15:32:11,IP Address,148.88.245.25,100,763,True,2022-10-11 15:32:11,R_2SocoUdhQ7Ov0W8,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,20,April,Female,160,The youngest of my siblings,UK,"Midlands, England",A-Level Grade A* / A,7,Average,Average,25000,300,Disagree,receive £100 for sure,lose £100 for sure,85,Nearly every day,Nearly every day,Nearly every day,More than half the days,Several days,More than half the days,Nearly every day,5,8,8,7 days,7 days,0 days,7 days,7 days,2 days,0 days,386,904,1636,,,iPhone,2,30,3,0,,,...,...,...,...,..,6,0,9,strongly agree,20,14,38,33,10,5,6,7,8,9,2,1,3,4,in imperial units alongside a metric equivalent?,25928,904492
2022-10-11 15:19:36,2022-10-11 15:32:14,IP Address,148.88.245.193,100,757,True,2022-10-11 15:32:14,R_3M9BubwZU3H2UQN,,,,,54.1173,-2.4104,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,January,Female,167,The oldest of my siblings,UK,"South East, England (inc. London)",GCSE grade A-C,17,A little below average,Well above average,25000,300,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,95,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,8,4,10,1 day,7 days,0 days,7 days,7 days,0 days,0 days,25,435,544,,,Android,1,30,,,1,45,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7,7,9,strongly agree,25,3,25,11,6,1,2,3,4,5,6,7,8,9,In imperial units?,25921,344866
